fragment_smiles,count
[16*]c1cccnc1,5
[5*]Nc1ccccc1[16*],5
[1*]C(=O)CCCCCCCC[7*],5
[16*]c1cc(Br)cc(Br)c1O,5
[5*]N1C([13*])C2NC(=O)OC23CC([15*])CC1C3O,5
[3*]OC1CC2C(O)C3(C1)OC(=O)NC3C([13*])N2[5*],5
[13*][C@H]1C[C@H]([15*])[C@@H](O)[C@H](C)O1,5
[3*]OC1OC([13*])C(O)C([15*])C1O[3*],5
[3*]OC1OC([13*])C(O)C([15*])C1[15*],5
[3*]OC1C([13*])OC([13*])C(O)C1O[3*],5
[3*]OC1C([15*])C([13*])OC([13*])C1O,5
[3*]OC1OC([13*])C(O)C(O[3*])C1O[3*],5
[4*]CC1OC(O)C(O)C(O)C1O,5
[3*]OC1OC([13*])C(O)C(O[3*])C1[15*],5
[13*]C1OC([13*])C(O)C([15*])C1[15*],5
